,Goals_per_Draws,Goals_per_Losses,Goals_per_Wins,team
0,"[1, 2, 1, 3, 0, 2]","[0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0]","[2, 1, 4, 2, 1, 1, 2, 1, 3, 3, 2, 1]",Nurnberg
1,"[1, 2, 0, 4, 2, 2, 1, 1]","[1, 1, 0, 0, 0, 1, 1, 0, 0, 2, 0]","[4, 1, 3, 4, 3, 5, 4, 3, 2, 2, 2, 2, 3, 4, 2]",Stuttgart
2,"[2, 0, 0, 1, 0]","[0, 1, 2, 1, 1, 1, 1, 1, 0, 0, 2, 1, 1, 0, 0, 0]","[1, 3, 2, 1, 3, 2, 2, 1, 3, 4, 3, 4, 3]",Wolfsburg
3,"[0, 1, 0, 3, 0, 1, 1, 0, 1, 0, 2, 1]","[1, 2, 1, 1, 0, 0, 0, 1, 0, 2, 1, 1, 1]","[3, 4, 3, 4, 2, 2, 3, 2, 3]",Mainz
4,"[0, 2, 2, 1, 2, 0, 2, 0, 0, 1]","[1, 1, 0, 1, 1, 2, 0, 3, 2, 0, 1, 0, 0, 1]","[4, 2, 2, 3, 1, 1, 3, 2, 2, 2]",Freiburg
5,"[1, 0, 1, 2, 1, 0, 0, 0, 2]","[1, 0, 0, 1, 0, 0, 0, 0]","[3, 3, 1, 1, 3, 5, 2, 1, 4, 2, 3, 2, 1, 1, 3, 2, 3]",M'gladbach
6,"[1, 1, 1, 2, 0, 1, 1, 0, 1, 1, 1, 2]","[1, 3, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0]","[2, 1, 2, 2, 1, 1, 2, 2]",Hamburg
7,"[1, 2, 1, 1, 1, 0, 2, 1, 1]","[1, 0, 0, 2, 0, 0, 2, 0, 1, 1, 0, 1, 0, 0]","[3, 5, 2, 2, 2, 3, 2, 4, 3, 3, 2]",Werder Bremen
8,"[1, 1, 2, 1]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 0]","[5, 4, 3, 2, 4, 3, 5, 3, 4, 4, 1, 3, 3, 4, 3, 2, 1, 4, 2, 4]",Schalke 04
9,"[0, 1, 0, 2, 1, 1, 2, 0, 1, 1, 0, 1]","[1, 1, 0, 0, 0, 0, 1, 0, 1, 0]","[2, 2, 4, 2, 1, 4, 3, 2, 2, 2, 2, 1]",Hannover
10,"[0, 1, 1, 1, 1, 0, 1, 1, 2, 1, 0]","[0, 2, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1]","[1, 4, 3, 1, 2, 2, 4, 2, 2, 2]",Hoffenheim
11,"[0, 2, 2, 3, 3, 1, 1, 2, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 2, 0]","[2, 3, 1, 1, 3, 3, 4, 2, 2, 1, 2, 4, 4, 1, 1]",Leverkusen
12,"[0, 1, 1, 0, 1, 2, 1, 1, 1, 1, 0]","[0, 2, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[1, 3, 2, 2]",Kaiserslautern
13,"[3, 0, 2, 2, 0, 1, 2, 3, 1, 1]","[0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[3, 1, 1, 3, 3, 2, 3]",Hertha
14,"[0, 2, 2, 0, 1, 1, 0, 1, 1, 0, 2, 2, 2, 1]","[1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 0]","[2, 1, 3, 2, 2, 1, 1, 2]",Augsburg
15,"[1, 1, 1, 1, 2, 1]","[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 1, 0, 0, 1]","[4, 2, 1, 3, 2, 1, 4, 4]",FC Koln
16,"[1, 4, 0, 1, 1, 0]","[1, 0, 1]","[1, 5, 4, 3, 1, 2, 2, 1, 3, 2, 5, 2, 4, 3, 4, 1, 2, 5, 2, 6, 3, 1, 2, 2, 5]",Dortmund
17,"[0, 0, 1, 0]","[0, 0, 2, 1, 1, 0, 0]","[3, 7, 5, 2, 3, 4, 2, 2, 4, 2, 4, 2, 2, 7, 1, 2, 1, 2, 2, 3, 6, 2, 4]",Bayern Munich
18,"[2, 1, 0, 1, 2, 0, 0, 2, 0, 0, 1, 0]","[1, 1, 2, 0, 1, 0, 1, 0, 0, 1, 0, 2, 4, 1, 1, 0, 0]","[4, 2, 2, 1, 1]",Hansa Rostock
19,"[0, 2, 1, 0, 0, 1, 0]","[0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 1, 1, 0, 2]","[2, 2, 1, 4, 2, 6, 1, 2, 3, 5]",Bochum
20,"[1, 0, 0, 1, 1, 3, 1, 1]","[0, 0, 0, 2, 0, 1]","[3, 3, 2, 3, 4, 1, 4, 3, 2, 4, 6, 2, 2, 4, 4, 4, 3, 3, 5, 3]",Ein Frankfurt
21,"[2, 0, 2, 1, 0, 1, 0, 2, 0, 1]","[1, 0, 0, 0, 1, 0, 0]","[4, 2, 2, 3, 3, 1, 1, 1, 4, 2, 1, 3, 3, 2, 4, 2, 2]",Paderborn
22,"[1, 1, 0, 1, 2, 2, 0, 2, 0, 0]","[2, 1, 1, 1]","[1, 2, 3, 6, 3, 2, 2, 3, 1, 5, 2, 5, 4, 3, 1, 2, 4, 4, 2, 4]",Greuther Furth
23,"[2, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]","[2, 1, 1, 1]","[2, 4, 2, 2, 3, 4, 2, 2, 3, 1, 4, 3, 2, 5, 5, 4]",Fortuna Dusseldorf
24,"[1, 1, 0, 3, 3, 0, 1, 1, 0, 1, 1, 0, 1]","[3, 0, 0, 1, 2, 0, 1, 0, 1, 1, 1, 1, 1]","[4, 2, 3, 1, 1, 4, 1, 2]",Ingolstadt
25,"[1, 3, 1, 1, 1, 1, 0, 1, 1, 0, 0]","[0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 1, 2]","[2, 2, 2, 2, 1, 2, 2, 1]",Cottbus
26,"[0, 2, 0, 1, 1, 3, 1, 0]","[2, 1, 1, 1, 0, 0, 0, 1]","[3, 2, 2, 1, 2, 3, 4, 3, 2, 5, 2, 2, 2, 4, 1, 2, 2, 3]",St Pauli
27,"[1, 0, 0, 3, 1, 1, 1, 1, 2, 1, 2, 0, 1, 1]","[0, 0, 0, 2, 0, 0, 1, 0, 3, 1, 0, 0, 0]","[2, 3, 2, 4, 2, 3, 5]",Frankfurt FSV
28,"[1, 0, 1, 1, 3, 1]","[0, 0, 0, 0, 1, 2, 0, 2, 1, 0, 0, 1, 1, 1]","[4, 2, 2, 5, 1, 2, 1, 1, 3, 4, 4, 5, 3, 2]",Union Berlin
29,"[1, 1, 2, 0, 2, 2]","[2, 1, 0, 1, 1, 0, 0, 1, 1, 1, 2]","[2, 2, 2, 2, 3, 3, 4, 4, 4, 2, 2, 5, 1, 3, 3, 1, 1]",Munich 1860
30,"[2, 0, 2, 0, 1, 0, 0, 0, 1, 1, 1, 0, 3]","[0, 0, 0, 1, 0, 0, 1, 3, 1, 0, 0, 1, 0, 0, 0]","[1, 2, 2, 3, 2, 2]",Aachen
31,"[0, 2, 2, 1, 0, 0]","[1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, 1, 0, 1]","[2, 3, 1, 2, 2, 2, 2, 3, 2]",Karlsruhe
32,"[0, 0, 0, 1, 1, 0, 0, 1, 2, 1, 1, 0, 1, 0, 1]","[0, 0, 1, 0, 0, 0, 0, 1, 0]","[4, 3, 3, 1, 3, 3, 2, 3, 1, 3]",Braunschweig
33,"[1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1]","[1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1]","[2, 1, 2, 1, 4, 1, 3, 2]",Erzgebirge Aue
34,"[0, 1, 0, 1, 2, 1, 0, 2, 1]","[0, 0, 1, 0, 0, 1, 0, 0, 2, 1, 2, 1, 0, 1, 1]","[3, 2, 3, 2, 2, 3, 2, 3, 2, 2]",Duisburg
35,"[1, 1, 2, 2, 0, 2, 2, 1, 1]","[1, 0, 1, 1, 0, 0, 1, 2, 1, 1, 0, 0, 0]","[2, 5, 2, 1, 2, 3, 4, 2, 2, 4, 1, 2]",Dresden
36,"[1, 1, 1, 3, 3, 1, 1]","[1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 2, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1]","[4, 4, 3, 3, 2, 2, 3, 2]",Blackburn
37,"[0, 1, 2, 1, 1, 0, 0, 1, 1, 1]","[1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0]","[6, 1, 2, 2, 5, 2, 5, 2, 2, 2, 2, 1, 3, 1]",Fulham
38,"[1, 1, 1, 0, 1, 1, 0, 0, 1, 0]","[1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2, 0, 0]","[3, 2, 1, 3, 3, 4, 2, 2, 2, 2, 2, 3, 3, 3]",Liverpool
39,"[0, 2, 0, 2, 1, 0, 1, 1]","[0, 2, 0, 1, 2, 1, 2, 0, 1, 0, 1]","[2, 3, 1, 2, 3, 1, 2, 1, 2, 2, 3, 1, 2, 3, 2, 2, 3, 2, 2]",Newcastle
40,"[0, 1, 1, 1, 1, 1, 2]","[0, 2, 0, 2, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 2, 1, 1, 0, 0, 1, 2]","[1, 3, 3, 2, 3, 1, 1, 1, 3, 3]",QPR
41,"[1, 3, 1, 0, 1, 0, 1, 0, 2, 1]","[1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1]","[2, 2, 1, 4, 3, 2, 2, 2, 2, 2, 1]",Wigan
42,"[0, 1, 0, 2, 1, 1, 1, 2, 1, 0, 1, 1]","[1, 2, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]","[1, 2, 3, 2, 2, 1, 2, 1, 1, 2, 2]",Stoke
43,"[0, 0, 0, 2, 1, 1, 1, 2]","[1, 0, 0, 1, 1, 0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0]","[2, 2, 4, 1, 3, 1, 1, 2, 2, 3, 2, 5, 1]",West Brom
44,"[3, 2, 1, 0, 1]","[1, 0, 0, 0, 0]","[4, 3, 2, 4, 3, 3, 5, 1, 3, 3, 3, 3, 3, 2, 2, 4, 1, 3, 3, 5, 4, 6, 3, 1, 1, 6, 2, 2]",Man City
45,"[1, 1, 0, 3, 0, 0, 1]","[0, 1, 1, 2, 3, 1, 0, 1, 2, 1]","[1, 3, 2, 3, 3, 1, 1, 7, 5, 2, 3, 1, 5, 2, 4, 2, 2, 2, 1, 3, 3]",Arsenal
46,"[0, 1, 1, 2, 1, 0, 1, 0, 2, 1, 2, 0, 0, 0, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 2, 1, 1, 0, 1, 0, 0, 0]","[3, 2, 3, 1, 2, 3, 3]",Aston Villa
47,"[1, 3, 0, 0, 1, 1, 0, 1, 1, 0]","[3, 1, 1, 0, 1, 0, 0, 0, 1, 1]","[2, 3, 4, 3, 3, 2, 1, 3, 1, 2, 6, 2, 2, 5, 1, 3, 2, 4]",Chelsea
48,"[2, 1, 1, 1, 1, 1, 1, 2, 4, 1, 0]","[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0]","[3, 2, 1, 1, 2, 1, 2, 4, 4, 3, 1, 3, 2, 1, 2]",Everton
49,"[2, 2, 0, 1, 0, 0, 2, 1, 0, 1, 3, 0]","[0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]","[4, 2, 1, 2, 3, 1, 3, 2, 3, 4, 1]",Sunderland
50,"[0, 0, 0, 1, 1, 1, 4, 2, 0, 0, 1]","[0, 2, 0, 0, 0, 0, 1, 1, 2, 0, 0, 0, 1, 0, 0]","[3, 2, 3, 2, 3, 1, 3, 1, 2, 2, 2, 3]",Swansea
51,"[1, 0, 1, 2, 2, 2]","[2, 0, 1, 1, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]","[5, 3, 2, 2, 4, 3, 2, 2, 3, 2]",Bolton
52,"[1, 3, 1, 0, 1, 2, 1, 1, 1, 2, 3]","[0, 1, 0, 1, 1, 0, 1, 0, 2, 1, 0, 0, 0, 1, 0]","[2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 3, 2]",Norwich
53,"[2, 2, 0, 0, 1, 1, 1, 2, 0, 4]","[0, 0, 1, 1, 1, 2, 0, 1, 0, 0, 2, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 2]","[2, 3, 2, 2, 2]",Wolves
54,"[1, 4, 1, 1, 3]","[1, 2, 0, 0, 0]","[3, 8, 3, 2, 1, 4, 5, 3, 2, 2, 2, 1, 2, 4, 2, 2, 5, 1, 1, 1, 2, 5, 2, 2, 3, 5, 2, 1]",Man United
55,"[1, 1, 1, 2, 1, 0, 0, 0, 1]","[1, 1, 1, 0, 1, 2, 2, 0, 0]","[4, 2, 3, 2, 3, 1, 1, 2, 3, 5, 3, 2, 2, 2, 2, 2, 3, 3, 2, 4]",Tottenham
